ID,Name,Initial Power,Overall KP gain,Overall DEAD gain,DKP Gain,Goal DKP
177061123,Ukrainesea,47.930.230,31.987.180,1.001.169,34.656.966,95.860.460
183831374,Fukuzen,34.744.473,10.011.809,1.490.888,34.345.654,69.488.946
176931526,ØĐƗŇツ,44.310.238,27.131.756,1.093.421,34.218.900,88.620.476
181151871,ᴰᴷCOFFEツ,36.689.649,30.773.312,995.280,34.099.254,73.379.298
179321948,P U R B A 亗,56.387.795,22.846.206,1.189.089,34.001.104,112.775.590
184018057,Mihawk1019,36.150.176,42.878.071,657.740,33.539.270,72.300.352
183890301,Raynas Filler,51.415.244,26.178.635,1.041.860,32.577.628,102.830.488
184276983,Lu ㅇㅅㅇ,26.356.247,7.930.679,1.390.129,31.638.084,52.712.494
183884003,ᴰᴷLilCleo,29.347.988,29.603.073,854.711,30.481.514,58.695.976
184210838,mubeen,26.040.168,10.875.568,1.270.995,30.333.364,52.080.336
184104267,亗ItsMe,38.852.060,30.104.203,806.013,29.881.584,77.704.120
176931638,ŦĦØŘツ,60.622.631,45.731.424,415.996,29.156.194,121.245.262
140849706,ChibiMarukoChaN,27.740.493,29.958.296,767.302,29.023.458,55.480.986
183910961,Cherpos,50.719.232,49.949.028,245.180,28.371.972,101.438.464
183892179,tosca,32.742.896,37.471.282,459.174,26.295.440,65.485.792
183732543,ᴷᴾMej,32.510.419,32.148.607,539.811,25.540.528,65.020.838
183765760,暁乂 TAO 1,31.469.877,34.210.542,476.105,25.256.548,62.939.754
184221297,ᴰᴷ Ander,29.861.103,7.319.069,1.071.366,24.938.564,59.722.206
183880386,SiLver,47.301.121,40.236.554,215.642,23.038.776,94.602.242
172679317,ᴺᴰᴺKoko,32.920.891,9.461.406,833.962,20.752.844,65.841.782
183218325,chèrry R2,37.470.351,21.991.977,519.825,20.529.872,74.940.702
189193352,Matsiiiiii,20.310.029,19.419.468,551.841,19.929.450,40.620.058
183885753,ᴰᴷMŘŞ MF,31.856.999,16.498.781,537.973,18.418.170,63.713.998
180314621,Nødy filler,35.860.204,15.493.214,518.497,17.510.218,71.720.408
184318652,Tuấnkhải,19.913.039,19.737.446,448.221,17.450.806,39.826.078
